MiniDOT Logger Concatenated Data File
Sensor:             7450-639850
Concatenation Date: 2018Sep12 09:53:40 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 197.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1527677700,           2018-05-30 10:55:00,           2018-05-30 05:55:00,      3.550000,     19.209000,          8.606000,                    95.425103,      1.014000
                1527678300,           2018-05-30 11:05:00,           2018-05-30 06:05:00,      3.550000,     19.360000,          8.590000,                    95.537690,      1.013000
                1527678900,           2018-05-30 11:15:00,           2018-05-30 06:15:00,      3.550000,     19.284000,          8.628000,                    95.813697,      1.014000
                1527679500,           2018-05-30 11:25:00,           2018-05-30 06:25:00,      3.550000,     19.125000,          8.681000,                    96.093765,      1.013000
                1527680100,           2018-05-30 11:35:00,           2018-05-30 06:35:00,      3.550000,     18.907000,          8.742000,                    96.343391,      1.013000
                1527680700,           2018-05-30 11:45:00,           2018-05-30 06:45:00,      3.550000,     18.621000,          8.790000,                    96.311538,      1.013000
                1527681300,           2018-05-30 11:55:00,           2018-05-30 06:55:00,      3.550000,     18.200000,          8.879000,                    96.453987,      1.014000
                1527681900,           2018-05-30 12:05:00,           2018-05-30 07:05:00,      3.550000,     17.703000,          8.955000,                    96.290031,      1.013000
                1527682500,           2018-05-30 12:15:00,           2018-05-30 07:15:00,      3.550000,     17.255000,          9.042000,                    96.326645,      1.013000
                1527683100,           2018-05-30 12:25:00,           2018-05-30 07:25:00,      3.550000,     16.755000,          9.147000,                    96.432434,      1.013000
                1527683700,           2018-05-30 12:35:00,           2018-05-30 07:35:00,      3.550000,     16.491000,          9.179000,                    96.234047,      1.014000
                1527684300,           2018-05-30 12:45:00,           2018-05-30 07:45:00,      3.550000,     16.304000,          9.197000,                    96.042901,      1.014000
                1527684900,           2018-05-30 12:55:00,           2018-05-30 07:55:00,      3.550000,     16.338000,          9.204000,                    96.185096,      1.015000
                1527685500,           2018-05-30 13:05:00,           2018-05-30 08:05:00,      3.550000,     16.593000,          9.156000,                    96.199314,      1.014000
                1527686100,           2018-05-30 13:15:00,           2018-05-30 08:15:00,      3.550000,     16.890000,          9.101000,                    96.219346,      1.015000
                1527686700,           2018-05-30 13:25:00,           2018-05-30 08:25:00,      3.550000,     16.975000,          9.085000,                    96.221144,      1.015000
                1527687300,           2018-05-30 13:35:00,           2018-05-30 08:35:00,      3.550000,     17.119000,          9.051000,                    96.149721,      1.014000
                1527687900,           2018-05-30 13:45:00,           2018-05-30 08:45:00,      3.550000,     17.280000,          9.013000,                    96.067655,      1.014000
                1527688500,           2018-05-30 13:55:00,           2018-05-30 08:55:00,      3.550000,     17.289000,          9.026000,                    96.224230,      1.014000
                1527689100,           2018-05-30 14:05:00,           2018-05-30 09:05:00,      3.550000,     17.415000,          9.003000,                    96.230612,      1.014000
                1527689700,           2018-05-30 14:15:00,           2018-05-30 09:15:00,      3.550000,     17.534000,          8.982000,                    96.243322,      1.014000
                1527690300,           2018-05-30 14:25:00,           2018-05-30 09:25:00,      3.550000,     17.745000,          8.928000,                    96.083001,      1.013000
                1527690900,           2018-05-30 14:35:00,           2018-05-30 09:35:00,      3.550000,     17.964000,          8.901000,                    96.225664,      1.014000
                1527691500,           2018-05-30 14:45:00,           2018-05-30 09:45:00,      3.550000,     18.419000,          8.820000,                    96.243174,      1.014000
                1527692100,           2018-05-30 14:55:00,           2018-05-30 09:55:00,      3.550000,     18.999000,          8.710000,                    96.169638,      1.014000
                1527692700,           2018-05-30 15:05:00,           2018-05-30 10:05:00,      3.550000,     19.259000,          8.664000,                    96.165052,      1.014000
                1527693300,           2018-05-30 15:15:00,           2018-05-30 10:15:00,      3.550000,      8.415000,         11.017000,                    96.221234,      1.009000
                1527693900,           2018-05-30 15:25:00,           2018-05-30 10:25:00,      3.550000,      6.844000,         11.549000,                    97.039829,      1.013000
                1527694500,           2018-05-30 15:35:00,           2018-05-30 10:35:00,      3.550000,      6.641000,         11.681000,                    97.651560,      1.015000
                1527695100,           2018-05-30 15:45:00,           2018-05-30 10:45:00,      3.550000,      6.553000,         11.707000,                    97.653030,      1.016000
                1527695700,           2018-05-30 15:55:00,           2018-05-30 10:55:00,      3.550000,      6.476000,         11.739000,                    97.730645,      1.016000
                1527696300,           2018-05-30 16:05:00,           2018-05-30 11:05:00,      3.550000,      6.534000,         11.719000,                    97.706485,      1.016000
                1527696900,           2018-05-30 16:15:00,           2018-05-30 11:15:00,      3.550000,      6.456000,         11.752000,                    97.789663,      1.016000
                1527697500,           2018-05-30 16:25:00,           2018-05-30 11:25:00,      3.550000,      6.621000,         11.704000,                    97.794774,      1.016000
                1527698100,           2018-05-30 16:35:00,           2018-05-30 11:35:00,      3.550000,      6.747000,         11.715000,                    98.196189,      1.017000
                1527698700,           2018-05-30 16:45:00,           2018-05-30 11:45:00,      3.550000,      6.476000,         11.745000,                    97.780596,      1.016000
                1527699300,           2018-05-30 16:55:00,           2018-05-30 11:55:00,      3.550000,      6.417000,         11.719000,                    97.419396,      1.016000
                1527699900,           2018-05-30 17:05:00,           2018-05-30 12:05:00,      3.540000,      7.056000,         11.864000,                   100.214910,      1.018000
                1527700500,           2018-05-30 17:15:00,           2018-05-30 12:15:00,      3.540000,      7.658000,         11.726000,                   100.535941,      1.017000
                1527701100,           2018-05-30 17:25:00,           2018-05-30 12:25:00,      3.540000,      7.477000,         11.677000,                    99.670085,      1.016000
                1527701700,           2018-05-30 17:35:00,           2018-05-30 12:35:00,      3.540000,      7.017000,         11.712000,                    98.834971,      1.016000
                1527702300,           2018-05-30 17:45:00,           2018-05-30 12:45:00,      3.540000,      7.630000,         11.697000,                   100.218195,      1.017000
                1527702900,           2018-05-30 17:55:00,           2018-05-30 12:55:00,      3.540000,      7.219000,         11.515000,                    97.661657,      1.015000
                1527703500,           2018-05-30 18:05:00,           2018-05-30 13:05:00,      3.540000,      6.757000,         11.649000,                    97.667407,      1.015000
                1527704100,           2018-05-30 18:15:00,           2018-05-30 13:15:00,      3.540000,      6.911000,         11.650000,                    98.052352,      1.016000
                1527704700,           2018-05-30 18:25:00,           2018-05-30 13:25:00,      3.540000,      6.379000,         11.714000,                    97.284678,      1.016000
                1527705300,           2018-05-30 18:35:00,           2018-05-30 13:35:00,      3.540000,      6.379000,         11.730000,                    97.417558,      1.016000
                1527705900,           2018-05-30 18:45:00,           2018-05-30 13:45:00,      3.540000,      6.320000,         11.736000,                    97.322531,      1.016000
                1527706500,           2018-05-30 18:55:00,           2018-05-30 13:55:00,      3.540000,      6.310000,         11.729000,                    97.239951,      1.016000
                1527707100,           2018-05-30 19:05:00,           2018-05-30 14:05:00,      3.540000,      6.203000,         11.770000,                    97.316564,      1.016000
                1527707700,           2018-05-30 19:15:00,           2018-05-30 14:15:00,      3.540000,      6.242000,         11.740000,                    97.164221,      1.016000
                1527708300,           2018-05-30 19:25:00,           2018-05-30 14:25:00,      3.540000,      6.252000,         11.726000,                    97.072866,      1.016000
                1527708900,           2018-05-30 19:35:00,           2018-05-30 14:35:00,      3.540000,      6.125000,         11.783000,                    97.232024,      1.016000
                1527709500,           2018-05-30 19:45:00,           2018-05-30 14:45:00,      3.540000,      6.135000,         11.738000,                    96.885208,      1.016000
                1527710100,           2018-05-30 19:55:00,           2018-05-30 14:55:00,      3.540000,      6.105000,         11.750000,                    96.910628,      1.016000
                1527710700,           2018-05-30 20:05:00,           2018-05-30 15:05:00,      3.540000,      6.105000,         11.681000,                    96.341536,      1.016000
                1527711300,           2018-05-30 20:15:00,           2018-05-30 15:15:00,      3.540000,      6.017000,         11.781000,                    96.949852,      1.016000
                1527711900,           2018-05-30 20:25:00,           2018-05-30 15:25:00,      3.540000,      6.115000,         11.760000,                    97.017667,      1.017000
                1527712500,           2018-05-30 20:35:00,           2018-05-30 15:35:00,      3.540000,      6.066000,         11.738000,                    96.716060,      1.016000
                1527713100,           2018-05-30 20:45:00,           2018-05-30 15:45:00,      3.540000,      6.046000,         11.743000,                    96.708224,      1.016000
                1527713700,           2018-05-30 20:55:00,           2018-05-30 15:55:00,      3.540000,      6.027000,         11.725000,                    96.513483,      1.016000
                1527714300,           2018-05-30 21:05:00,           2018-05-30 16:05:00,      3.540000,      6.017000,         11.748000,                    96.678284,      1.016000
                1527714900,           2018-05-30 21:15:00,           2018-05-30 16:15:00,      3.540000,      5.968000,         11.749000,                    96.566372,      1.016000
                1527715500,           2018-05-30 21:25:00,           2018-05-30 16:25:00,      3.540000,      5.899000,         11.724000,                    96.192145,      1.016000
                1527716100,           2018-05-30 21:35:00,           2018-05-30 16:35:00,      3.540000,      5.840000,         11.745000,                    96.219958,      1.016000
                1527716700,           2018-05-30 21:45:00,           2018-05-30 16:45:00,      3.540000,      5.860000,         11.731000,                    96.154177,      1.016000
                1527717300,           2018-05-30 21:55:00,           2018-05-30 16:55:00,      3.540000,      5.880000,         11.727000,                    96.170294,      1.016000
                1527717900,           2018-05-30 22:05:00,           2018-05-30 17:05:00,      3.540000,      5.899000,         11.719000,                    96.151121,      1.016000
                1527718500,           2018-05-30 22:15:00,           2018-05-30 17:15:00,      3.540000,      5.850000,         11.754000,                    96.318193,      1.016000
                1527719100,           2018-05-30 22:25:00,           2018-05-30 17:25:00,      3.530000,      5.899000,         11.735000,                    96.282397,      1.016000
                1527719700,           2018-05-30 22:35:00,           2018-05-30 17:35:00,      3.540000,      5.840000,         11.740000,                    96.178995,      1.016000
                1527720300,           2018-05-30 22:45:00,           2018-05-30 17:45:00,      3.530000,      5.840000,         11.738000,                    96.162611,      1.016000
                1527720900,           2018-05-30 22:55:00,           2018-05-30 17:55:00,      3.530000,      5.850000,         11.730000,                    96.121525,      1.016000
                1527721500,           2018-05-30 23:05:00,           2018-05-30 18:05:00,      3.530000,      5.929000,         11.756000,                    96.528255,      1.016000
                1527722100,           2018-05-30 23:15:00,           2018-05-30 18:15:00,      3.530000,      6.203000,         11.765000,                    97.275224,      1.016000
                1527722700,           2018-05-30 23:25:00,           2018-05-30 18:25:00,      3.530000,      6.873000,         11.816000,                    99.355215,      1.017000
                1527723300,           2018-05-30 23:35:00,           2018-05-30 18:35:00,      3.530000,      7.544000,         11.626000,                    99.398988,      1.016000
                1527723900,           2018-05-30 23:45:00,           2018-05-30 18:45:00,      3.530000,      7.114000,         11.898000,                   100.647189,      1.017000
                1527724500,           2018-05-30 23:55:00,           2018-05-30 18:55:00,      3.530000,      6.776000,         11.613000,                    97.411867,      1.015000
                1527725100,           2018-05-31 00:05:00,           2018-05-30 19:05:00,      3.530000,      6.466000,         11.839000,                    98.538386,      1.016000
                1527725700,           2018-05-31 00:15:00,           2018-05-30 19:15:00,      3.530000,      6.320000,         11.730000,                    97.272775,      1.016000
                1527726300,           2018-05-31 00:25:00,           2018-05-30 19:25:00,      3.530000,      6.369000,         11.774000,                    97.758342,      1.016000
                1527726900,           2018-05-31 00:35:00,           2018-05-30 19:35:00,      3.530000,      6.310000,         11.796000,                    97.795418,      1.016000
                1527727500,           2018-05-31 00:45:00,           2018-05-30 19:45:00,      3.530000,      6.369000,         11.795000,                    97.932703,      1.016000
                1527728100,           2018-05-31 00:55:00,           2018-05-30 19:55:00,      3.530000,      6.427000,         11.753000,                    97.726636,      1.016000
                1527728700,           2018-05-31 01:05:00,           2018-05-30 20:05:00,      3.530000,      6.281000,         11.737000,                    97.235095,      1.016000
                1527729300,           2018-05-31 01:15:00,           2018-05-30 20:15:00,      3.530000,      6.320000,         11.715000,                    97.148385,      1.015000
                1527729900,           2018-05-31 01:25:00,           2018-05-30 20:25:00,      3.530000,      6.174000,         11.776000,                    97.294809,      1.016000
                1527730500,           2018-05-31 01:35:00,           2018-05-30 20:35:00,      3.530000,      6.340000,         11.753000,                    97.512675,      1.016000
                1527731100,           2018-05-31 01:45:00,           2018-05-30 20:45:00,      3.530000,      6.271000,         11.750000,                    97.318224,      1.016000
                1527731700,           2018-05-31 01:55:00,           2018-05-30 20:55:00,      3.530000,      6.310000,         11.762000,                    97.513539,      1.016000
                1527732300,           2018-05-31 02:05:00,           2018-05-30 21:05:00,      3.530000,      6.183000,         11.731000,                    96.945075,      1.016000
                1527732900,           2018-05-31 02:15:00,           2018-05-30 21:15:00,      3.530000,      6.223000,         11.746000,                    97.167228,      1.016000
                1527733500,           2018-05-31 02:25:00,           2018-05-30 21:25:00,      3.530000,      6.203000,         11.718000,                    96.886619,      1.015000
                1527734100,           2018-05-31 02:35:00,           2018-05-30 21:35:00,      3.530000,      6.095000,         11.780000,                    97.133458,      1.016000
                1527734700,           2018-05-31 02:45:00,           2018-05-30 21:45:00,      3.530000,      6.125000,         11.760000,                    97.042230,      1.016000
                1527735300,           2018-05-31 02:55:00,           2018-05-30 21:55:00,      3.530000,      6.154000,         11.748000,                    97.014378,      1.016000
                1527735900,           2018-05-31 03:05:00,           2018-05-30 22:05:00,      3.530000,      6.203000,         11.766000,                    97.283492,      1.016000
                1527736500,           2018-05-31 03:15:00,           2018-05-30 22:15:00,      3.530000,      6.174000,         11.757000,                    97.137829,      1.016000
                1527737100,           2018-05-31 03:25:00,           2018-05-30 22:25:00,      3.530000,      6.203000,         11.756000,                    97.200810,      1.016000
                1527737700,           2018-05-31 03:35:00,           2018-05-30 22:35:00,      3.530000,      6.330000,         11.782000,                    97.728637,      1.016000
                1527738300,           2018-05-31 03:45:00,           2018-05-30 22:45:00,      3.530000,      6.437000,         11.797000,                    98.117191,      1.016000
                1527738900,           2018-05-31 03:55:00,           2018-05-30 22:55:00,      3.530000,      6.476000,         11.721000,                    97.580789,      1.015000
                1527739500,           2018-05-31 04:05:00,           2018-05-30 23:05:00,      3.530000,      6.544000,         11.786000,                    98.289782,      1.016000
                1527740100,           2018-05-31 04:15:00,           2018-05-30 23:15:00,      3.530000,      6.563000,         11.774000,                    98.236572,      1.016000
                1527740700,           2018-05-31 04:25:00,           2018-05-30 23:25:00,      3.530000,      6.466000,         11.753000,                    97.822591,      1.016000
                1527741300,           2018-05-31 04:35:00,           2018-05-30 23:35:00,      3.530000,      6.515000,         11.707000,                    97.559846,      1.016000
                1527741900,           2018-05-31 04:45:00,           2018-05-30 23:45:00,      3.530000,      6.437000,         11.726000,                    97.526675,      1.016000
                1527742500,           2018-05-31 04:55:00,           2018-05-30 23:55:00,      3.530000,      6.349000,         11.768000,                    97.659283,      1.016000
                1527743100,           2018-05-31 05:05:00,           2018-05-31 00:05:00,      3.530000,      6.369000,         11.724000,                    97.343197,      1.015000
                1527743700,           2018-05-31 05:15:00,           2018-05-31 00:15:00,      3.520000,      6.301000,         11.738000,                    97.292472,      1.016000
                1527744300,           2018-05-31 05:25:00,           2018-05-31 00:25:00,      3.520000,      6.349000,         11.721000,                    97.269244,      1.016000
                1527744900,           2018-05-31 05:35:00,           2018-05-31 00:35:00,      3.520000,      6.301000,         11.733000,                    97.251029,      1.016000
                1527745500,           2018-05-31 05:45:00,           2018-05-31 00:45:00,      3.520000,      6.291000,         11.735000,                    97.243065,      1.015000
                1527746100,           2018-05-31 05:55:00,           2018-05-31 00:55:00,      3.520000,      6.291000,         11.752000,                    97.383937,      1.016000
                1527746700,           2018-05-31 06:05:00,           2018-05-31 01:05:00,      3.520000,      6.301000,         11.740000,                    97.309049,      1.016000
                1527747300,           2018-05-31 06:15:00,           2018-05-31 01:15:00,      3.520000,      6.359000,         11.718000,                    97.268863,      1.016000
                1527747900,           2018-05-31 06:25:00,           2018-05-31 01:25:00,      3.520000,      6.301000,         11.750000,                    97.391936,      1.016000
                1527748500,           2018-05-31 06:35:00,           2018-05-31 01:35:00,      3.520000,      6.340000,         11.740000,                    97.404816,      1.016000
                1527749100,           2018-05-31 06:45:00,           2018-05-31 01:45:00,      3.520000,      6.359000,         11.726000,                    97.335269,      1.015000
                1527749700,           2018-05-31 06:55:00,           2018-05-31 01:55:00,      3.520000,      6.340000,         11.753000,                    97.512675,      1.016000
                1527750300,           2018-05-31 07:05:00,           2018-05-31 02:05:00,      3.520000,      6.301000,         11.767000,                    97.532844,      1.016000
                1527750900,           2018-05-31 07:15:00,           2018-05-31 02:15:00,      3.520000,      6.330000,         11.738000,                    97.363668,      1.016000
                1527751500,           2018-05-31 07:25:00,           2018-05-31 02:25:00,      3.520000,      6.320000,         11.767000,                    97.579603,      1.016000
                1527752100,           2018-05-31 07:35:00,           2018-05-31 02:35:00,      3.520000,      6.379000,         11.721000,                    97.342813,      1.015000
                1527752700,           2018-05-31 07:45:00,           2018-05-31 02:45:00,      3.520000,      6.495000,         11.745000,                    97.827324,      1.016000
                1527753300,           2018-05-31 07:55:00,           2018-05-31 02:55:00,      3.520000,      6.592000,         11.733000,                    97.965781,      1.016000
                1527753900,           2018-05-31 08:05:00,           2018-05-31 03:05:00,      3.520000,      6.427000,         11.711000,                    97.377404,      1.016000
                1527754500,           2018-05-31 08:15:00,           2018-05-31 03:15:00,      3.520000,      6.369000,         11.743000,                    97.500952,      1.016000
                1527755100,           2018-05-31 08:25:00,           2018-05-31 03:25:00,      3.520000,      6.349000,         11.737000,                    97.402023,      1.016000
                1527755700,           2018-05-31 08:35:00,           2018-05-31 03:35:00,      3.520000,      6.330000,         11.754000,                    97.496384,      1.016000
                1527756300,           2018-05-31 08:45:00,           2018-05-31 03:45:00,      3.520000,      6.330000,         11.734000,                    97.330489,      1.016000
                1527756900,           2018-05-31 08:55:00,           2018-05-31 03:55:00,      3.520000,      6.369000,         11.692000,                    97.077504,      1.016000
                1527757500,           2018-05-31 09:05:00,           2018-05-31 04:05:00,      3.520000,      6.592000,         11.786000,                    98.408309,      1.016000
                1527758100,           2018-05-31 09:15:00,           2018-05-31 04:15:00,      3.520000,      7.296000,         11.793000,                   100.210570,      1.017000
                1527758700,           2018-05-31 09:25:00,           2018-05-31 04:25:00,      3.520000,      7.315000,         11.688000,                    99.365092,      1.015000
                1527759300,           2018-05-31 09:35:00,           2018-05-31 04:35:00,      3.520000,      6.447000,         11.721000,                    97.509625,      1.015000
                1527759900,           2018-05-31 09:45:00,           2018-05-31 04:45:00,      3.520000,      6.447000,         11.717000,                    97.476348,      1.015000
                1527760500,           2018-05-31 09:55:00,           2018-05-31 04:55:00,      3.520000,      6.369000,         11.722000,                    97.326591,      1.015000
                1527761100,           2018-05-31 10:05:00,           2018-05-31 05:05:00,      3.520000,      6.262000,         11.733000,                    97.155345,      1.016000
                1527761700,           2018-05-31 10:15:00,           2018-05-31 05:15:00,      3.520000,      6.223000,         11.731000,                    97.043142,      1.016000
                1527762300,           2018-05-31 10:25:00,           2018-05-31 05:25:00,      3.520000,      6.183000,         11.732000,                    96.953339,      1.016000
                1527762900,           2018-05-31 10:35:00,           2018-05-31 05:35:00,      3.520000,      6.086000,         11.741000,                    96.789811,      1.016000
                1527763500,           2018-05-31 10:45:00,           2018-05-31 05:45:00,      3.520000,      6.017000,         11.731000,                    96.538385,      1.016000
                1527764100,           2018-05-31 10:55:00,           2018-05-31 05:55:00,      3.520000,      5.840000,         11.747000,                    96.236342,      1.016000
                1527764700,           2018-05-31 11:05:00,           2018-05-31 06:05:00,      3.520000,      5.978000,         11.740000,                    96.516896,      1.016000
                1527765300,           2018-05-31 11:15:00,           2018-05-31 06:15:00,      3.520000,      6.164000,         11.733000,                    96.915022,      1.016000
                1527765900,           2018-05-31 11:25:00,           2018-05-31 06:25:00,      3.520000,      5.968000,         11.712000,                    96.262265,      1.015000
                1527766500,           2018-05-31 11:35:00,           2018-05-31 06:35:00,      3.520000,      5.988000,         11.753000,                    96.648297,      1.016000
                1527767100,           2018-05-31 11:45:00,           2018-05-31 06:45:00,      3.510000,      6.017000,         11.741000,                    96.620679,      1.016000
                1527767700,           2018-05-31 11:55:00,           2018-05-31 06:55:00,      3.520000,      5.929000,         11.747000,                    96.454357,      1.016000
                1527768300,           2018-05-31 12:05:00,           2018-05-31 07:05:00,      3.510000,      5.821000,         11.708000,                    95.870468,      1.015000
                1527768900,           2018-05-31 12:15:00,           2018-05-31 07:15:00,      3.510000,      6.037000,         11.739000,                    96.653227,      1.016000
                1527769500,           2018-05-31 12:25:00,           2018-05-31 07:25:00,      3.510000,      5.831000,         11.712000,                    95.927635,      1.015000
                1527770100,           2018-05-31 12:35:00,           2018-05-31 07:35:00,      3.510000,      5.939000,         11.725000,                    96.298174,      1.016000
                1527770700,           2018-05-31 12:45:00,           2018-05-31 07:45:00,      3.510000,      5.781000,         11.734000,                    95.985550,      1.016000
                1527771300,           2018-05-31 12:55:00,           2018-05-31 07:55:00,      3.510000,      5.811000,         11.723000,                    95.968860,      1.015000
                1527771900,           2018-05-31 13:05:00,           2018-05-31 08:05:00,      3.510000,      5.958000,         11.815000,                    97.084182,      1.016000
                1527772500,           2018-05-31 13:15:00,           2018-05-31 08:15:00,      3.510000,      5.850000,         11.666000,                    95.597077,      1.015000
                1527773100,           2018-05-31 13:25:00,           2018-05-31 08:25:00,      3.510000,      6.037000,         11.740000,                    96.661461,      1.016000
                1527773700,           2018-05-31 13:35:00,           2018-05-31 08:35:00,      3.510000,      6.125000,         11.698000,                    96.530613,      1.015000
                1527774300,           2018-05-31 13:45:00,           2018-05-31 08:45:00,      3.510000,      5.958000,         11.724000,                    96.336433,      1.015000
                1527774900,           2018-05-31 13:55:00,           2018-05-31 08:55:00,      3.510000,      5.968000,         11.730000,                    96.410209,      1.015000
                1527775500,           2018-05-31 14:05:00,           2018-05-31 09:05:00,      3.510000,      5.909000,         11.763000,                    96.536662,      1.016000
                1527776100,           2018-05-31 14:15:00,           2018-05-31 09:15:00,      3.510000,      6.281000,         11.818000,                    97.906139,      1.016000
                1527776700,           2018-05-31 14:25:00,           2018-05-31 09:25:00,      3.510000,      6.144000,         11.777000,                    97.229255,      1.016000
                1527777300,           2018-05-31 14:35:00,           2018-05-31 09:35:00,      3.510000,      6.144000,         11.768000,                    97.154952,      1.016000
                1527777900,           2018-05-31 14:45:00,           2018-05-31 09:45:00,      3.510000,      5.899000,         11.785000,                    96.692633,      1.015000
                1527778500,           2018-05-31 14:55:00,           2018-05-31 09:55:00,      3.510000,      6.320000,         11.715000,                    97.148385,      1.015000
                1527779100,           2018-05-31 15:05:00,           2018-05-31 10:05:00,      3.510000,      6.301000,         11.756000,                    97.441668,      1.016000
                1527779700,           2018-05-31 15:15:00,           2018-05-31 10:15:00,      3.510000,      6.232000,         11.774000,                    97.421004,      1.016000
                1527780300,           2018-05-31 15:25:00,           2018-05-31 10:25:00,      3.510000,      6.301000,         11.746000,                    97.358781,      1.016000
                1527780900,           2018-05-31 15:35:00,           2018-05-31 10:35:00,      3.510000,      6.252000,         11.756000,                    97.321219,      1.015000
                1527781500,           2018-05-31 15:45:00,           2018-05-31 10:45:00,      3.510000,      6.310000,         11.746000,                    97.380890,      1.016000
                1527782100,           2018-05-31 15:55:00,           2018-05-31 10:55:00,      3.510000,      6.164000,         11.736000,                    96.939803,      1.016000
                1527782700,           2018-05-31 16:05:00,           2018-05-31 11:05:00,      3.510000,      6.144000,         11.760000,                    97.088905,      1.016000
                1527783300,           2018-05-31 16:15:00,           2018-05-31 11:15:00,      3.510000,      6.281000,         11.748000,                    97.326224,      1.016000
                1527783900,           2018-05-31 16:25:00,           2018-05-31 11:25:00,      3.510000,      6.379000,         11.747000,                    97.558743,      1.016000
                1527784500,           2018-05-31 16:35:00,           2018-05-31 11:35:00,      3.510000,      6.271000,         11.747000,                    97.293377,      1.016000
                1527785100,           2018-05-31 16:45:00,           2018-05-31 11:45:00,      3.510000,      6.408000,         11.794000,                    98.020651,      1.016000
                1527785700,           2018-05-31 16:55:00,           2018-05-31 11:55:00,      3.510000,      6.456000,         11.757000,                    97.831269,      1.016000
                1527786300,           2018-05-31 17:05:00,           2018-05-31 12:05:00,      3.510000,      6.563000,         11.709000,                    97.694244,      1.016000
                1527786900,           2018-05-31 17:15:00,           2018-05-31 12:15:00,      3.510000,      6.621000,         11.769000,                    98.337892,      1.016000
                1527787500,           2018-05-31 17:25:00,           2018-05-31 12:25:00,      3.510000,      6.796000,         11.766000,                    98.744632,      1.016000
                1527788100,           2018-05-31 17:35:00,           2018-05-31 12:35:00,      3.510000,      6.757000,         11.722000,                    98.279453,      1.016000
                1527788700,           2018-05-31 17:45:00,           2018-05-31 12:45:00,      3.510000,      6.940000,         11.759000,                    99.041369,      1.016000
                1527789300,           2018-05-31 17:55:00,           2018-05-31 12:55:00,      3.510000,      6.815000,         11.738000,                    98.556447,      1.016000
                1527789900,           2018-05-31 18:05:00,           2018-05-31 13:05:00,      3.510000,      6.767000,         11.756000,                    98.589178,      1.016000
                1527790500,           2018-05-31 18:15:00,           2018-05-31 13:15:00,      3.510000,      6.670000,         11.719000,                    98.040481,      1.016000
                1527791100,           2018-05-31 18:25:00,           2018-05-31 13:25:00,      3.510000,      6.583000,         11.722000,                    97.851829,      1.015000
                1527791700,           2018-05-31 18:35:00,           2018-05-31 13:35:00,      3.510000,      6.447000,         11.719000,                    97.492987,      1.016000
                1527792300,           2018-05-31 18:45:00,           2018-05-31 13:45:00,      3.510000,      6.369000,         11.705000,                    97.185442,      1.016000
                1527792900,           2018-05-31 18:55:00,           2018-05-31 13:55:00,      3.510000,      6.164000,         11.742000,                    96.989363,      1.015000
                1527793500,           2018-05-31 19:05:00,           2018-05-31 14:05:00,      3.510000,      6.174000,         11.700000,                    96.666888,      1.016000
                1527794100,           2018-05-31 19:15:00,           2018-05-31 14:15:00,      3.510000,      5.958000,         11.728000,                    96.369301,      1.016000
                1527794700,           2018-05-31 19:25:00,           2018-05-31 14:25:00,      3.510000,      5.958000,         11.719000,                    96.295347,      1.016000
                1527795300,           2018-05-31 19:35:00,           2018-05-31 14:35:00,      3.510000,      6.066000,         11.932000,                    98.314537,      1.017000
                1527795900,           2018-05-31 19:45:00,           2018-05-31 14:45:00,      3.510000,      6.340000,         11.761000,                    97.579049,      1.016000
                1527796500,           2018-05-31 19:55:00,           2018-05-31 14:55:00,      3.510000,      6.476000,         11.783000,                    98.096958,      1.016000
                1527797100,           2018-05-31 20:05:00,           2018-05-31 15:05:00,      3.510000,      6.310000,         11.640000,                    96.502091,      1.015000
                1527797700,           2018-05-31 20:15:00,           2018-05-31 15:15:00,      3.510000,      6.427000,         11.693000,                    97.227734,      1.016000
                1527798300,           2018-05-31 20:25:00,           2018-05-31 15:25:00,      3.500000,      6.349000,         11.671000,                    96.854308,      1.016000
                1527798900,           2018-05-31 20:35:00,           2018-05-31 15:35:00,      3.500000,      6.271000,         11.701000,                    96.912387,      1.016000
                1527799500,           2018-05-31 20:45:00,           2018-05-31 15:45:00,      3.500000,      6.271000,         11.693000,                    96.846127,      1.016000
                1527800100,           2018-05-31 20:55:00,           2018-05-31 15:55:00,      3.500000,      6.242000,         11.692000,                    96.766956,      1.016000
                1527800700,           2018-05-31 21:05:00,           2018-05-31 16:05:00,      3.500000,      6.105000,         11.682000,                    96.349783,      1.016000
                1527801300,           2018-05-31 21:15:00,           2018-05-31 16:15:00,      3.500000,      5.948000,         11.670000,                    95.868366,      1.016000
                1527801900,           2018-05-31 21:25:00,           2018-05-31 16:25:00,      3.500000,      6.037000,         11.666000,                    96.052181,      1.015000
                1527802500,           2018-05-31 21:35:00,           2018-05-31 16:35:00,      3.500000,      6.193000,         11.667000,                    96.440559,      1.016000
                1527803100,           2018-05-31 21:45:00,           2018-05-31 16:45:00,      3.500000,      6.223000,         11.668000,                    96.521983,      1.016000
                1527803700,           2018-05-31 21:55:00,           2018-05-31 16:55:00,      3.500000,      6.183000,         11.665000,                    96.399650,      1.016000
